"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"NORTH 1","11025 - DDH","FUTURE AUTO WHEELS PVT LTD","Arena","B3222922822","The customer’s concern was that they had left their car at the workshop a long time ago, specifically in March, following an accident. However, they have not received any help or proper updates from the showroom's end yet. Previously, they were told that the delay was due to spare parts availability, but now no reason is being provided for the ongoing delay. The customer was extremely frustrated regarding this. They also stated that they are being given incorrect contact numbers and are repeatedly told to speak with higher authorities; when they do call, they are given excuses like the concerned person is on sick leave. Regarding this, I have provided the contact numbers of the Customer Care Manager (CCM) and the Workshop Manager (WM) to assist them. The customer agreed to speak with them.","2026-06-15 00:17:13.094294","81122558@maruticrm.onmicrosoft.com","2026-06-15 00:17:13.094294","81122558@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","13332 - MVM","XL AUTO","Nexa","B6070468071","Customer wanted to do service of his vehicle so he wanted to book his vehicle service of a  vehicle so tell customer to arrange his call back from workshop and tell workshop will coordinate to customer regarding his concern .","2026-06-15 00:24:30.122764","81109940@maruticrm.onmicrosoft.com","2026-06-15 00:24:30.122764","81109940@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","10007 - SGS","SMARTWHEELS PVT LTD","Arena","B9767596608","The customer reported that they are trying to book a vehicle but the sales team is forcing them to opt for the exchange facility. The customer stated that the staff refused to sell the vehicle unless they agree to the extended warranty , accessories and insurance. They are unhappy with this pressure and want to purchase the vehicle without being forced. so QCM no shared to the customer for the further assistance.","2026-06-15 00:38:23.533726","81114047@maruticrm.onmicrosoft.com","2026-06-15 00:38:23.533726","81114047@maruticrm.onmicrosoft.com","OPEN","Query - Sales","OPEN","1",NULL,NULL
"SOUTH EAST 2","13554 - M78","URMILA MOTORS","Nexa","B1245872846","The customer contacted us because they want to book a maintenance service for their car. They need assistance with scheduling an appointment at the workshop for their vehicle. Please have the service team reach out to the customer to confirm a convenient date and time slot.","2026-06-15 00:50:01.578792","81114047@maruticrm.onmicrosoft.com","2026-06-15 00:50:01.578792","81114047@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 3","13928 - IMA","EASTERN MOTORS","Arena","B9434519938","The customer contacted support because their Suzuki Connect application is still not working or tracking correctly despite completing the renewal process. After verifying the account status, the customer care executive took confirmation from the customer and requested them to share a screenshot via mail of the specific error or screen layout on the application via email for further technical review.","2026-06-15 01:24:56.784838","81122568@maruticrm.onmicrosoft.com","2026-06-15 01:24:56.784838","81122568@maruticrm.onmicrosoft.com","OPEN","Query-Suzuki Connect-Gen 1","OPEN","1",NULL,NULL
"EAST 2","50025 - PBR","ALANKAR AUTO SALES & SERVICE PVT. LTD.","True Value","B4892575805","Customer want to take  alto k10 in true value  already prospect created. Hence i have provide TVM ","2026-06-15 01:25:01.266207","81122506@maruticrm.onmicrosoft.com","2026-06-15 01:25:01.266207","81122506@maruticrm.onmicrosoft.com","OPEN","Query-True Value","OPEN","1",NULL,NULL
"SOUTH EAST 1","15783 - DMI","RAJDEEP AUTOMOTIVES PRIVATE LIMITED","Arena","B6497115954","Customer facing issue in the car mileage please look into the matter and resolve the issue asap as the customer is too much frustrated with it actually he has to fill the rent 1000 in one day, please look into the matter it is a critical thing do not waste his much time so please resolve it asap. RAJDEEP AUTOMOTIVES PRIVATE LIMITED D.NO.-4-126/9,SY.NO.-445,446,MEDCHAL, TO MIYAPUR BYE PASS ROAD,NEAR AYODHYA JUNCTION,, GOWDAVALLY(V),MEDCHAL(M),HYDERABAD. PIN: 501401 ","2026-06-15 01:29:36.704826","1154261@maruticrm.onmicrosoft.com","2026-06-15 01:29:36.704826","1154261@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","15204 - STP","RAJKRISHNA MOTORS LLP","Arena","B1522802871","Customer wanted to book car servicing shared GM number and query raised.","2026-06-15 01:34:23.128324","81128798@maruticrm.onmicrosoft.com","2026-06-15 01:34:23.128324","81128798@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 3","12051 - KVL","A M MOTORS","Arena","B2057497241","Customer has given his vehicle for the fuel pump issue and it has been 1month the service center delaying the vehicle due to spares parts. Hence i have provide WM number. ","2026-06-15 01:40:23.623156","81122506@maruticrm.onmicrosoft.com","2026-06-15 01:40:23.623156","81122506@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","10066 - BND","VARUN MOTORS PVT LTD","Arena","B7192490017","""The customer said, 'I purchased a second-hand WagonR. When I visited the service center, they told me to go back to the original service center where the car was first serviced. The engine check light is on, but I cannot leave the car at the service center for seven days.'""","2026-06-15 01:41:51.389009","1153962@maruticrm.onmicrosoft.com","2026-06-15 01:41:51.389009","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 2","14855 - NVR","VARUN MOTORS PVT LTD","Nexa","B7870138166","The customer reported an unauthorized deduction of reward points by the workshop without any repairs or services being performed. I advised the customer to contact the Workshop Customer Care Manager (CCM) and Workshop Manager (WM) for a resolution. The customer agreed to follow up with them directly. Hence Shared CCM and WM Number.","2026-06-15 01:52:05.248545","81110974@maruticrm.onmicrosoft.com","2026-06-15 01:52:05.248545","81110974@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 2","12413 - VHJ","KALYANI MOTORS PVT LTD.","Arena","B7209269655","The customer requested dealership details to proceed with a service booking; and wanted to book the service so i provide the dealer details to the customer 
","2026-06-15 01:59:29.071712","1153962@maruticrm.onmicrosoft.com","2026-06-15 01:59:29.071712","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 3","11653 - VKA","PREM MOTORS PVT. LTD.","Nexa","B1068804581","I, Rajendra Prasad Meena, owner of vehicle number RJ45CR6568, would like to lodge a serious complaint against the GM, Supervisor and Service Adviser of Prem Motors PVT LTD, PLOT NO. E101/A, VKI, JAIPUR. PIN: 302013., Service Centre for negligence, wrong vehicle entry, false billing information, unprofessional behavior and mental harassment. My correct vehicle number is RJ45CR6568 S CROSS, but the whore not wrongly added to a WhatsApp group named RJ45CS4144 S CROSS, which belongs to another vehicle. In that group, I received repair details, videos and service expenses related to another customer’s vehicle. Instead of correcting their mistake, the staff members behaved improperly and continued giving misleading information. My vehicle was: • Not properly inspected • No road test was conducted • An estimated bill of around ₹26,000 was prepared without proper checking or approval I was informed that: • The brakes were damaged • The battery was weak • The tyres were weak. However, all these issues were mentioned without proper inspection of my vehicle. In addition, an amount of ₹2183 was taken from me, even though no such repair work was carried out on my vehicle. I was also not properly informed about the purpose of this payment. When I requested the complete inspection video of my vehicle, only an edited video of around 19 seconds was shown to me. The complete original video was neither shown nor provided to me, which creates doubt regarding transparency and actual work done on the vehicle. The GM, Supervisor and Adviser also used highly inappropriate language, such as: “Why should we call you and explain the problems in your vehicle?”
","2026-06-15 02:04:22.879323","1154261@maruticrm.onmicrosoft.com","2026-06-15 02:04:22.879323","1154261@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","14604 - DYA","MAX AUTOMOBILES","Arena","B8763475993","The customer is concerned that his car is facing battery problem since last 4-5 months, so the customer was asked to visit the service centre regarding this. Hence FCR pitched customer agreed shared CCM number and query raised.","2026-06-15 02:15:28.05158","81128798@maruticrm.onmicrosoft.com","2026-06-15 02:15:28.05158","81128798@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","11065 - SCN","AUTOFIN LTD","Arena","B5516959074","Customer was facing heating issue in the car so i provide the service center service number to the customer ","2026-06-15 02:20:17.884995","1153962@maruticrm.onmicrosoft.com","2026-06-15 02:20:17.884995","1153962@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
